Period,Canadian Dollar ($CADUSD) - Rate Value,CAN CPI,US CPI,CAN Foreign Reserves,US Foreign Reserves,Foreign Reserves Difference,Foreign Reserves Difference Percentage,CPI Difference,CPI Difference Percentage
1989-10,1.1751612903225805,5.12,4.49,13.87,41.55,-27.68,1.9956741167988463,0.6299999999999999,-0.123046875
1989-11,1.1696666666666666,5.26,4.66,13.68,42.7,-29.020000000000003,2.1213450292397664,0.5999999999999996,-0.11406844106463876
1989-12,1.1609677419354838,5.26,4.65,14.15,44.55,-30.4,2.1484098939929326,0.6099999999999994,-0.11596958174904937
1990-01,1.1716129032258065,5.5,5.2,12.99,45.23,-32.239999999999995,2.4819091608929944,0.2999999999999998,-0.054545454545454564
1990-02,1.197142857142857,5.46,5.26,11.02,43.91,-32.89,2.984573502722323,0.20000000000000018,-0.03663003663003661
1990-03,1.1809677419354838,5.3,5.23,11.91,46.42,-34.510000000000005,2.897565071368598,0.0699999999999994,-0.013207547169811207
1990-04,1.1649999999999998,5.01,4.71,12.36,46.43,-34.07,2.7564724919093853,0.2999999999999998,-0.059880239520958
1990-05,1.174838709677419,4.42,4.36,11.33,46.8,-35.47,3.1306266548984993,0.05999999999999961,-0.013574660633484115
1990-06,1.1729999999999998,4.41,4.67,11.96,47.29,-35.33,2.954013377926421,-0.2599999999999998,0.05895691609977316
1990-07,1.1574193548387095,4.11,4.82,13.29,47.46,-34.17,2.5711060948081266,-0.71,0.17274939172749382
1990-08,1.1441935483870966,4.11,5.62,15.7,48.17,-32.47,2.0681528662420385,-1.5099999999999998,0.3673965936739658
1990-09,1.1566666666666665,4.23,6.16,15.55,49.41,-33.86,2.1774919614147907,-1.9299999999999997,0.45626477541371147
1990-10,1.1593548387096773,4.74,6.29,15.32,51.85,-36.53,2.3844647519582245,-1.5499999999999998,0.3270042194092826
1990-11,1.164,5.12,6.27,15.65,52.07,-36.42,2.3271565495207667,-1.1499999999999995,0.224609375
1990-12,1.1609677419354838,4.99,6.11,15.8,52.19,-36.39,2.303164556962025,-1.12,0.22444889779559118
