Dates,Canadian Dollar ($CADUSD) - Rate Value,Canada Prime Rate (%PRC1) - Rate Value,United States Prime Rate - Rate Value,Prime Rate Difference,Prime Rate Difference Percentage
1983-07-29,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-08-02,1.24,11.0,10.5,0.5,-0.045454545454545414
1983-08-03,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-08-04,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-08-05,1.24,11.0,10.5,0.5,-0.045454545454545414
1983-08-08,1.24,11.0,11.0,0.0,0.0
1983-08-09,1.24,11.0,11.0,0.0,0.0
1983-08-10,1.24,11.0,11.0,0.0,0.0
1983-08-11,1.24,11.0,11.0,0.0,0.0
1983-08-12,1.24,11.0,11.0,0.0,0.0
1983-08-15,1.24,11.0,11.0,0.0,0.0
1983-08-16,1.23,11.0,11.0,0.0,0.0
1983-08-17,1.23,11.0,11.0,0.0,0.0
1983-08-18,1.23,11.0,11.0,0.0,0.0
1983-08-19,1.23,11.0,11.0,0.0,0.0
1983-08-22,1.23,11.0,11.0,0.0,0.0
1983-08-23,1.23,11.0,11.0,0.0,0.0
1983-08-24,1.23,11.0,11.0,0.0,0.0
1983-08-25,1.23,11.0,11.0,0.0,0.0
1983-08-26,1.23,11.0,11.0,0.0,0.0
1983-08-29,1.23,11.0,11.0,0.0,0.0
1983-08-30,1.23,11.0,11.0,0.0,0.0
1983-08-31,1.23,11.0,11.0,0.0,0.0
1983-09-01,1.23,11.0,11.0,0.0,0.0
1983-09-02,1.23,11.0,11.0,0.0,0.0
1983-09-06,1.23,11.0,11.0,0.0,0.0
1983-09-07,1.23,11.0,11.0,0.0,0.0
1983-09-08,1.23,11.0,11.0,0.0,0.0
1983-09-09,1.23,11.0,11.0,0.0,0.0
1983-09-12,1.23,11.0,11.0,0.0,0.0
1983-09-13,1.23,11.0,11.0,0.0,0.0
1983-09-14,1.23,11.0,11.0,0.0,0.0
1983-09-15,1.23,11.0,11.0,0.0,0.0
1983-09-16,1.23,11.0,11.0,0.0,0.0
1983-09-19,1.23,11.0,11.0,0.0,0.0
1983-09-20,1.23,11.0,11.0,0.0,0.0
1983-09-21,1.23,11.0,11.0,0.0,0.0
1983-09-22,1.23,11.0,11.0,0.0,0.0
1983-09-23,1.23,11.0,11.0,0.0,0.0
1983-09-26,1.23,11.0,11.0,0.0,0.0
1983-09-27,1.23,11.0,11.0,0.0,0.0
1983-09-28,1.23,11.0,11.0,0.0,0.0
1983-09-29,1.23,11.0,11.0,0.0,0.0
1983-09-30,1.23,11.0,11.0,0.0,0.0
1983-10-03,1.23,11.0,11.0,0.0,0.0
1983-10-04,1.23,11.0,11.0,0.0,0.0
1983-10-05,1.23,11.0,11.0,0.0,0.0
1983-10-06,1.23,11.0,11.0,0.0,0.0
1983-10-07,1.23,11.0,11.0,0.0,0.0
1983-10-11,1.23,11.0,11.0,0.0,0.0
1983-10-12,1.23,11.0,11.0,0.0,0.0
1983-10-13,1.23,11.0,11.0,0.0,0.0
1983-10-14,1.23,11.0,11.0,0.0,0.0
1983-10-17,1.23,11.0,11.0,0.0,0.0
1983-10-18,1.23,11.0,11.0,0.0,0.0
1983-10-19,1.23,11.0,11.0,0.0,0.0
1983-10-20,1.23,11.0,11.0,0.0,0.0
1983-10-21,1.23,11.0,11.0,0.0,0.0
1983-10-24,1.23,11.0,11.0,0.0,0.0
1983-10-25,1.23,11.0,11.0,0.0,0.0
1983-10-26,1.23,11.0,11.0,0.0,0.0
1983-10-27,1.23,11.0,11.0,0.0,0.0
1983-10-28,1.23,11.0,11.0,0.0,0.0
1983-10-31,1.23,11.0,11.0,0.0,0.0
